item_uid,bank_uid,p_vlm,p_pred_child,p_human,d_bank,d_bench,d_est,d_est_cv,d_est_p_only_cv,chance,anchor,tags,zipf,flag,transcript
tom_deception_emotion_reasoning_1,tom_deception_emotion_reasoning_1,1.0000,0.9030,0.9120,-2.235409,2.235409,-1.590740,-1.548630,-1.497286,0.2500,true,spatial,,,
tom_deception_emotion_reasoning_2,tom_deception_emotion_reasoning_2,0.9600,0.8360,0.8170,-0.896974,0.896974,-1.164551,-1.186663,-1.126296,0.2500,true,spatial,,,
tom_deception_false_belief_1,tom_deception_false_belief_1,0.8400,0.8060,0.7850,-0.445694,0.445694,-0.614346,-0.628040,-0.569964,0.5000,true,spatial,,,
tom_deception_false_belief_2,tom_deception_false_belief_2,0.9600,0.8360,0.6460,0.256849,-0.256849,-0.790307,-0.849094,-0.785571,0.5000,true,spatial,,,
tom_deception_false_belief_3,tom_deception_false_belief_3,0.6800,0.7300,0.4830,3.884747,-3.884747,-0.199825,-0.259444,-0.307995,0.5000,true,spatial,,,
tom_deception_reality_check_1,tom_deception_reality_check_1,0.8800,0.8160,0.8730,-1.228922,1.228922,-0.671591,-0.646897,-0.595940,0.5000,true,spatial,,,
tom_deception_reality_check_2,tom_deception_reality_check_2,0.3600,0.5000,0.4700,5.497742,-5.497742,5.889370,6.075621,6.142100,0.5000,true,spatial,,,
tom_deception_reality_check_3,tom_deception_reality_check_3,0.3200,0.5000,0.3710,5.876897,-5.876897,5.889370,5.897232,5.965650,0.5000,true,spatial,,,
tom_interpretation_emotion_reasoning,tom_interpretation_emotion_reasoning,0.8400,0.8060,0.7740,-0.218247,0.218247,-1.016159,-1.065654,-1.003120,0.2500,true,spatial,,,
tom_interpretation_false_belief,tom_interpretation_false_belief,0.6000,0.7300,0.8320,-0.437734,0.437734,-0.199825,-0.192790,-0.139254,0.5000,true,spatial,,,
tom_interpretation_reality_check_1,tom_interpretation_reality_check_1,0.8800,0.8160,0.8790,-1.719598,1.719598,-0.671591,-0.620825,-0.574757,0.5000,true,spatial,,,
tom_interpretation_reality_check_2,tom_interpretation_reality_check_2,0.6400,0.7300,0.9680,-2.379655,2.379655,-0.199825,-0.142172,-0.063446,0.5000,true,spatial,,,
tom_moral_reasoning_emotion_reasoning_1,tom_moral_reasoning_emotion_reasoning_1,0.8800,0.8160,0.8590,-1.127323,1.127323,-1.063761,-1.065232,-1.008604,0.2500,true,spatial,,,
tom_moral_reasoning_emotion_reasoning_2,tom_moral_reasoning_emotion_reasoning_2,0.2800,0.3940,0.4180,1.386579,-1.386579,0.659214,0.619950,0.680100,0.2500,true,spatial,,,
tom_moral_reasoning_false_belief,tom_moral_reasoning_false_belief,0.8800,0.8160,,,,-1.063761,,,0.2500,false,other,,,
tom_moral_reasoning_false_belief_1,tom_moral_reasoning_false_belief_1,0.7600,0.7450,0.7610,-0.594777,0.594777,-0.280794,-0.269983,-0.217081,0.5000,true,other,,,
tom_moral_reasoning_false_belief_2,tom_moral_reasoning_false_belief_2,0.9600,0.8360,0.7120,0.195054,-0.195054,-0.790307,-0.845956,-0.782800,0.5000,true,other,,,
tom_moral_reasoning_reality_check,tom_moral_reasoning_reality_check,0.0000,0.2500,,,,5.889370,,,0.2500,false,other,,,
tom_moral_reasoning_reality_check_2,tom_moral_reasoning_reality_check_2,0.8400,0.8060,0.8700,-2.548611,2.548611,-0.614346,-0.552011,-0.480683,0.5000,true,other,,,
tom_reality_known_false_belief,tom_reality_known_false_belief,0.7600,0.7450,0.6750,1.006961,-1.006961,-0.280794,-0.341059,-0.280291,0.5000,true,other,,,
tom_reality_known_reality_check,tom_reality_known_reality_check,0.9600,0.8360,0.9260,-1.656719,1.656719,-0.790307,-0.747574,-0.699752,0.5000,true,other,,,
tom_reference_emotion_reasoning_1,tom_reference_emotion_reasoning_1,1.0000,0.9030,0.8930,-2.784702,2.784702,-1.590740,-1.508827,-1.462628,0.2500,true,spatial,,,
tom_reference_emotion_reasoning_2,tom_reference_emotion_reasoning_2,1.0000,0.9030,0.8770,-1.776500,1.776500,-1.590740,-1.582765,-1.526241,0.2500,true,spatial,,,
tom_reference_reality_check,tom_reference_reality_check,0.9600,0.8360,0.8340,-1.491246,1.491246,-1.065788,-1.045462,-0.992624,0.3300,true,other,,,
tom_reference_reference,tom_reference_reference,0.0000,0.3300,0.2220,5.729784,-5.729784,5.889370,5.966447,6.034113,0.3300,true,other,,,
tom_second_order_false_belief_1,tom_second_order_false_belief_1,0.8000,0.8020,0.8470,-0.011553,0.011553,-0.591760,-0.626808,-0.564715,0.5000,true,other,,,
tom_second_order_false_belief_1_,tom_second_order_false_belief_1_,0.8400,0.8060,,,,-1.016159,,,0.2500,false,other,,,
tom_second_order_false_belief_2,tom_second_order_false_belief_2,0.5600,0.6380,0.6380,1.159497,-1.159497,-0.199017,-0.258630,-0.200762,0.3300,true,other,,,
tom_second_order_false_belief_2_,tom_second_order_false_belief_2_,0.3200,0.3940,,,,0.659214,,,0.2500,false,other,,,
tom_second_order_false_belief_3,tom_second_order_false_belief_3,0.6800,0.7300,0.6920,0.668993,-0.668993,-0.199825,-0.243923,-0.182458,0.5000,true,other,,,
tom_second_order_reality_check,tom_second_order_reality_check,0.8800,0.8160,0.8710,-1.299432,1.299432,-0.671591,-0.643151,-0.592896,0.5000,true,other,,,
